Gene,Log2FC,p-value,adj_p-value,Significant,-log10(p-value)
ZC3H6,-0.2604113232186567,0.31755968302058135,,False,0.4981746402283478
LOC121919816,-1.341036917835067,0.22223123371009407,,False,0.6531949027548655
TTL,-0.2536500927779102,0.30617360644074276,,False,0.5140322501863933
LOC121915899,0.0,,,False,
POLR1B,-0.3473709487901484,0.18969627524706872,,False,0.7219411965521696
PTCRA,-2.0,0.10941573701029811,,False,0.9609202099476
CNPY3,-0.6471610395144509,0.08693301138768451,,False,1.060815276012667
GNMT,1.078603789601905,0.03790692525059095,,False,1.4212814411303367
PEX6,0.11277806781898114,0.6132356655765487,,False,0.2123725946646092
PPP2R5D,0.41738525413526517,0.1722431898113431,,False,0.7638579403104573
MEA1,0.4164402169789341,0.09508101578218679,,False,1.0219061872063515
KLHDC3,0.9237573936395194,0.007237410291455729,,False,2.140416806361877
LOC121925209,1.3219280948873624,0.12188913791398952,,False,0.9140349945801568
RRP36,0.9199097187490031,0.0074667192986664155,,False,2.126870175085522
LOC121926182,-0.41503749927884376,0.36321746764912255,,False,0.43983327380401
LOC121919744,0.7346554334790047,0.09068280236106001,,False,1.0424750673816552
LOC121919745,0.0,,,False,
LOC121919743,0.7578883675300272,0.021980410136129634,,False,1.6579642082639325
MRPL2,0.6087723455759733,0.09499147950121743,,False,1.0223153480959728
KLC4,0.30227214018605686,0.39488821476252484,,False,0.4035258273674786
LOC121919370,0.07826058313247142,0.797976064972848,,False,0.09801013497271643
PTK7,0.7260818414850991,0.04381372299549334,,False,1.3583898418297835
LOC121918926,-0.11547721741993566,0.7991515343594584,,False,0.09737086236777175
SRF,0.22144234224983084,0.5172511449783084,,False,0.28629853931430926
LOC121934547,0.41503749927884376,0.36321746764912255,,False,0.43983327380401
LOC121927769,-0.06662696981492466,0.7583730949116434,,False,0.12011708302584162
TTBK1,-0.3219280948873626,0.7654149222778275,,False,0.11610307516646455
LOC121927137,0.41503749927884376,0.36321746764912255,,False,0.43983327380401
LOC121916955,0.0,,,False,
CALM2,-0.1354450653026653,0.4530392152197297,,False,0.3438642036904539
STPG4,-0.3656494723166799,0.5645793006628977,,False,0.24827504856365645
